hostcode,hostdesc
POCR0  ,CHRYSANTHEMUM SEED - FIELD GROWN - TRANS
POCY1  ,CYCLAMEN - PRICKING-OFF SEEDLING
POCY2  ,CYCLAMEN - SEED SOWING
POD    ,DIFFENBACHIA
PODE1  ,DELPINIUM - PRICKING-OFF SEEDLING
PODF3  ,DIEFFENBACHIA - CUTTINGS
PODI1  ,DIANTHUS - PRICKING-OFF SEEDLING
PODI2  ,DIAUTHUS - SEED SOWING
PODI3  ,DIANTHUS - CUTTINGS
PODR1  ,DRACAENA SPP. - PRICKING-OFF SEEDLING
PODR2  ,DRACAENA SPP. - SEED SOWING
POEU2  ,EUCALYPTUS SPP. - SEED SOWING
POFT3  ,FATSIA JAPONICA - CUTTINGS
POGE3  ,GERBERA JAMESONII - CUTTINGS
POGL1  ,GLOXINIA - PRICKING-OFF SEEDLING
POHL1  ,HELICHRYSUM (IMMORTELLE) - PRICKING-OFF
POIM2  ,IMPATIENS - SEED SOWING
POIM3  ,IMPATIENS - CUTTINGS
POKA1  ,KALANCHOE - PRICKING-OFF SEEDLING
POKA3  ,KALANCHOE - CUTTINGS
POMB   ,MAYBUSH
POMN1  ,MONSTERA DELICIOSA - PRICKING-OFF SEEDLI
PONE3  ,NEMESIA - CUTTINGS
PONF   ,NURSERY FLOWER
POOX1  ,OXALIS HEDYSAROIDES RUBRA - PRICKING
POPC3  ,POLYSCIAS (LACE ARALIA) - CUTTINGS
POPE   ,PEPEROMIA SPP. - POT PLANT
POPI1  ,PHLOX - PRICKING-OFF SEEDLING
POPI2  ,PHILODENDRON SPP. - SEED SOWING
POPR   ,PRIMULA SPP. - POT PLANT
PORH3  ,RHAPHIDOPHORA - CUTTINGS
POSC   ,SCINDAPSUS - POT PLANT
POSE   ,SENECIO CRUENTUS - POT PLANT
POSE1  ,SENECIO CRUENTUS - PRICKING-OFF SEEDLING
POSR2  ,STROBILANTHES - SEED SOWING
POST1  ,STREPTOCARPUS - PRICKING-OFF SEEDLING
POTR3  ,TRISTANIA SPP. - CUTTINGS
POTU2  ,TULIPA (TULIP) - SEED SOWING
POVE1  ,VERBENA - PRICKING-OFF SEEDLING
POVI1  ,VIOLA TRICOLOUR (PANSY) - PRICKING-OFF S
PSCA2  ,PERENNIAL RYEGRASS SEED PRODUCTION
PSCA3  ,PERENNIAL RYEGRASS CROP
PSCA4  ,PERENNIAL RYEGRASS SEED CROP - FALLOW &
PSCAP  ,PERENNIAL RYEGRASS SEED CROP AT 3-6 LEAF
PSCAS  ,RYEGRASS SEED CROP - SEEDLING
PSCC   ,PHALARIS SEED CROP
PSCC6  ,PHALARIS SEED CROP - FALLOW & SEEDBED
PSCDO  ,FESCUE SEED CROP OVER 1 YEAR OLD
PSCEC  ,CURRIE COCKSFOOT SEED CROP
PSCEC1 ,CURRIE COCKSFOOT ESTABLISHED PASTURE
PSCEO  ,COCKSFOOT SEED CROP OVER 1 YEAR OLD
MONPV  ,PLANT - SEE LABEL FOR VARIETY
MONS   ,"SHRUB, TREE"
MONS3  ,PROTEA
MONT4  ,COLEONEMA
MONT5  ,COPROSMA
MONT9  ,ESCALONIA
MONTA  ,JASMINE
MONTC1 ,TREE AND VINE CROPS
MONTF  ,THUJA OCCIDENTALIS
MONTJ  ,"AZALEA, RHODODENDRON OR CAMELLIA"
MONTLV ,TREE - LIVING
MONTRE ,TREE
MONU8  ,"RUBBER PLANT, BUSH OR TREE"
MONUB  ,HAKEA
MONUF  ,CORAL PEA OR KENNEDIA
MONUP  ,VIBURNUM
MONUQ  ,WEIGELA
MONY   ,CUTTING
MONZG  ,ZONAL GERANIUM
MONZMN ,ELM TREE IN NON CROP SITUATIONS
MONZV  ,TREE STUMP
MONZY  ,TOLERANT ORNAMENTAL
MOP    ,ORNAMENTALS IN POTS
MOPY1  ,PYRETHRUM - ESTABLISHED
MSB2   ,BED - ORNAMENTAL
MSBJ   ,SEEDBED - DIRECT DRILLING
MTEO   ,ORNAMENTAL LAWN - ESTABLISHED
MTFAB  ,OVAL OR PARK OF BENT GRASS
MTFAH  ,OVAL OR PARK TURF OR LAWN
MTFAX  ,CARPET GRASS - AXONOPUS AFFINIS
MTFBBG ,BOWLING GREEN OF BUFFALO GRASS
MTFCY  ,WEED CONTROL - NATURE OR MEDIAN STRIP
MTFE   ,BLUE COUCH LAWN OR TURF
MTFEE  ,KENTUCKY BLUE GRASS - ESTABLISHED
MTFEF  ,RECREATION TURF (BENT OR FESCUE)
MTFG3  ,GOLF TEE OF BENT GRASS
MTFGC  ,GOLF FAIRWAY OF COMMON COUCH
MTFGE  ,GOLF GREEN OF QUEENSLAND BLUE COUCH
MTFGG  ,GOLF FAIRWAY
MTFGHC ,GREEN COUCH & HYBRIDS OF GREEN COUCH
MTFGL  ,GOLF GREEN OF RYEGRASS
MTFHT  ,COURT
MTFM   ,BROME LAWN OR TURF
MTFN   ,BENT LAWN OR TURF
MTFNP  ,CHEWING'S FESCUE LAWN OR TURF
MTFPD  ,BOWLING GREEN OF HYBRID BENT GRASS
MTFPL  ,PASPALUM LAWN - ESTABLISHED
MTFRA  ,PERENNIAL RYEGRASS TURF
MTFRAE ,PERENNIAL RYEGRASS TURF - ESTABLISHED
MTFS   ,BAHIA GRASS
MTFWM  ,LAWNS & TURF SURFACES - WELL MAINTAINED
MTFX   ,CARPET GRASS LAWN OR TURF
MTFZGE ,ZOYSIA GRASS TURF - ESTABLISHED
MTHCT  ,HYBRID COUCH CV. TIFWAY LAWN OR TURF
MTLE   ,TURF AND LAWN - SEE LABEL FOR EXCLUSIONS
NT     ,NUTS
NT1    ,DECIDUOUS NUT
NTP    ,NUT TREE - PRIOR TO PLANTING
NTSC   ,CASHEW
NTSG3  ,MACADAMIA DORMANT
NTSGO  ,MACADAMIA NUT ORCHARD
NTSH1  ,PECAN - PRIOR TO PLANTING
NTSIA  ,PISTACHIO OVER 3 YEARS OLD
NTSJA  ,WALNUT OVER 3 YEARS OLD
NTSKSL ,PEANUT - SEE LABEL FOR VARIETY
PAA    ,PASTURE
PAAP   ,PASTURE - WEED CONTROL PRIOR TO SOWING
PABL   ,BROADLEAF PASTURE
PAC1   ,PERENNIAL CLOVER-SELECTIVE WEED CONTROL
PACA   ,ALSIKE CLOVER PASTURE
PACDCL ,PASTURE NEWLY SOWN (CLOVER &/OR LUCERNE)
PACKF  ,KENYA WHITE CLOVER FORAGE CROP
PACPP  ,PERSIAN CLOVER (PRIOR TO SOWING)
PACS1  ,SUBTERRANEAN CLOVER
PACSR  ,TRIKKALA SUB. CLOVER PASTURE SEEDLING
PACST  ,CLOVER PASTURE
PAES   ,AESCHYNANTHUS SPP. - POT PLANT
PAFC   ,CHEWING'S FESCUE
PAG1   ,GRASS PASTURE - ESTABLISHED (SEE LABEL)
PAGP   ,PERENNIAL PASTURE GRASS
PAGRP  ,PERENNIAL RYEGRASS PASTURE
PAGRR1 ,PERENNIAL RYEGRASS - FALLOW AND SEEDBED
PAGS   ,PASTURE (GRASS/SUB CLOVER) - SPRAY/GRAZE
PAKWS  ,WHITE ASLIKE PASTURE (SEEDLING)
PALH   ,HUNTER RIVER LUCERNE PASTURE
PAM    ,MEDIC PASTURE
PAMC   ,CIRCLE VALLEY MEDIC PASTURE SEEDLING
PAML   ,MEDIC PASTURE - SEE LBL FOR VARIETIES
PAMM   ,PASTURE (CONTAINING MEDIC)
PANE3  ,ANEMONE - CUTTINGS
PAOV5  ,VETCH - FALLOW & SEEDBED
PAPEC  ,PASTURE ESTABLISHED - CONTAINING CLOVER
PAPK   ,KIKUYU/PASPALUM PASTURE
PAPSR  ,WINTER PASTURE - PRIOR TO SOWING RICE
PGAP1  ,AMENITY TREE
PHE2   ,MOCK ORANGE
PHE3   ,SMALL LEAF PHOTINIA
PLYS   ,ALYSSUM - POT PLANT
POAP   ,APHELANDRA DANIA - POT PLANT
POAS2  ,ASPARAGUS - SEED SOWING
POAT1  ,ASTER - PRICKING-OFF SEEDLING
POBA2  ,BANKSIA SPP. - SEED SOWING
POBC1  ,BRUNFELSIA CALYSINA - PRICKING-OFF SEEDL
POCA3  ,CALCEOLARIA - CUTTINGS
POCD   ,CLERODENDRON - POT PLANT
POCI   ,CALLISTEMON - POT PLANT
POCL2  ,CALENDULA - SEED SOWING
POCV   ,CODIAEUM VARIEGATUM - POT PLANT
PODF2  ,DIEFFENBACHIA - SEED SOWING
PODI   ,DIANTHUS - POT PLANT
POER1  ,ERICA GRACIS - PRICKING-OFF SEEDLING
POER2  ,ERICA GRACILIS - SEED SOWING
POFI2  ,FISCUS SPP. - SEED SOWING
POFU   ,FUSCHIA - POT PLANT
POFU3  ,FUSCHIA - CUTTINGS
POGE2  ,GERBERA JAMESONII - SEED SOWING
POGR2  ,GREVILLEA SPP. - SEED SOWING
POGY3  ,GYNURA - CUTTINGS
POHE   ,HEDERA HELIX (IVY) - POT PLANT
POHE2  ,HEDERA HELIX (IVY) - SEED SOWING
POIR1  ,IRIS - PRICKING-OFF SEEDLING
POLI1  ,LILIUM - PRICKING-OFF SEEDLING
POLI2  ,LILIUM - SEED SOWING
POLO2  ,LOBELIA - SEED SOWING
POMN2  ,MONSTERA DELICIOSA - SEED SOWING
PONE1  ,NEMESIA - PRICKING-OFF SEEDLING
POOX3  ,OXALIS HEDYSAROIDES RUBRA - CUTTINGS
POPC1  ,POLYSCIAS (LACE ARALIA) - PRICKING-OFF S
POPL1  ,PHALAENOSPSIS - PRICKING-OFF SEEDLING
POPS2  ,PILEA SPP. - SEED SOWING
POPX3  ,PHLOX - CUTTINGS
POPY   ,POLYPODIUM  - POT PLANT
PORA3  ,RANUNCULUS (ANEMONE) - CUTTINGS
PORH2  ,RHAPHIDOPHORA - SEED SOWING
POSO   ,SOLANUM CAPSICASTRUM - POT PLANT
POSY   ,SYNGONIUM - POT PLANT
VGAF   ,FRUITING VEGETABLE
VGAF1  ,FRUITING VEGETABLE (SEE LABEL)
VGAHC  ,GARDEN CRESS
VGBAD  ,CAPSICUM OR PEPPER - POST-HARVEST DIP
VGBDA  ,TOMATO FOR PROCESSING
VGBDO  ,TOMATO - POST-HARVEST
VGBDT  ,TOMATO - TRANSPLANTED
VGBE   ,CAPE GOOSEBERRY
VGBR   ,BRASSICA VEGETABLES
VGBS   ,SNAP BEAN
VGC    ,CUCURBIT
VGCPO  ,POTKIN
VGDAD  ,CAULIFLOWER - DIRECT SEEDED
VGDCDP ,CABBAGE-DIRECT SEEDED-PRIOR TO SOWING
VGDKD  ,KOHLRABI - DIRECT SEEDED
VGDKT  ,KOHLRABI TRANPLANTS
VGDL   ,KALE (CHOU MOELLIER)
VGDRD  ,BRUSSEL SPROUTS - DIRECT SEEDED
VGDS   ,SWEDE
VGEP   ,PEPINO
VGFC   ,CUCURBIT - FLOWERING
VGKE   ,KENAF
VGLHH  ,COLLARD
VGLHI  ,GREEN MUSTARD
VGLI   ,SILVER BEET
VGLIP  ,SILVER BEET - PRE-EMERGENT
VGOAS1 ,ONION - SPRING
VGOB   ,GARLIC
VGOCS  ,SHALLOT SEED
VGPB2  ,ADZUKI BEANS - PRE-HARVEST
VGPBPE ,ADZUKI BEAN - PRE-EMERGENT
VGPCA  ,CANNER 75 PEA
VGPCB  ,CANNER 72 PEA
VGPCPE ,GREEN PEA (POST-EMERGENT)
VGPE1  ,SOYBEANS - SEE LABEL
VGPE5  ,SOYBEAN - FALLOW & SEEDBED
VGPF   ,DRIED BEAN - SEED
VGPH   ,LENTIL
VGPH4  ,LENTIL - FALLOW & SEEDBED
VGPK2  ,MUNGBEAN - PRE-HARVEST
VGPLP  ,KIDNEY OR MEXICAN BEAN - PRIOR TO SOWING
VGPQ   ,FABA BEAN
VGRAS  ,SUGAR BEET
VGRB   ,CARROT
VGRB1  ,CARROT - REFER TO LABEL
VGRBB  ,CARROT - PRIOR TO SOWING
VGRD   ,CHICORY
VGRDA  ,CHICORY - PRIOR TO SOWING
VGRFS  ,PARSNIP SEEDLING
VGRG2  ,POTATO - IN-CROP APPLICATION
VGRGT  ,STORED POTATO
VGRI   ,RADISH
VGRIS  ,RADISH SEED
VGRPG  ,POTATO - GROUND STORED PRE-HARVEST WEED
VGSCP  ,RED BEET - PRE-EMERGENT
VGSDB  ,ASPARAGUS - OLDER THAN 6 MONTHS
VGSDX  ,ASPARAGUS SEEDLING
VGSFI  ,IRRIGATED SWEET CORN
VLM    ,MIBUNA
VLPC   ,PAK CHOY
VLPU   ,PURSLANE
VLRO   ,ROCKET
XACFPA ,FOOD PREPARATION AND SERVING AREAS
XAFW   ,WINTER FALLOW
XANC   ,AGRICULTURAL NON-CROP AREAS
XBA1   ,AGRICULTURAL BUILDINGS
XBCC   ,CLUB
XBCE   ,COMMERCIAL BUILDING/STRUCTURE - EXTERNAL
XBCPM  ,PROCESSING AND MANUFACTURING PLANTS
XBCPR  ,COMMERCIAL PREMISES - GENERAL
XBCR   ,CEMENT RENDER
XBD    ,MILK PLANT
XBDE   ,DOMESTIC BUILDING/STRUCTURE - EXTERNAL A
XBLO1  ,OPEN TOPPED CONCRETE SILO'S W/O PLASTIC
XBPI   ,PUBLIC BUILDING/STRUCTURE-INTERNAL
XBPS   ,SCHOOL
XBPZ   ,PUBLIC PREMISES UNDER CONSTRUCTION
XBSST  ,STORAGE SHED
XCEE   ,ELECTRICAL EQUIPMENT
XCEG   ,GLASSWARE
XCF    ,FOAM
XCHW   ,HOMEWARE ACCESSARIES
XESC   ,SEAWATER COOLING SYSTEM
XFC    ,CANE - PRODUCTS
XFG    ,FURNITURE - GENERAL
XFUU   ,FURNITURE - UNDER
XLBP   ,BAG STACKS UNDER PLASTIC SHEETING
XLCG   ,TRANSPLANTS - CONTAINER GROWN
XLCY   ,COURTYARD
XLDD   ,DRAINAGE DITCH
XLFS3  ,CASES IN WELL SEALED FUMIGATION ENCLOSUR
XLGP   ,GARDEN PLOTS-PRIOR TO PLANTING
XLIC   ,IRRIGATION CHANNEL
XLOC1  ,HOUSEHOLD WATER CONTAINER
XLP    ,PICNIC AREA
XLPAO  ,PUBLIC AREA - OUTDOOR
XLPC   ,CONCRETE PATH
XLS    ,SURFACE
XLSP   ,STORED PRODUCT PESTS
XLTCH  ,TENNIS COURT - HARD
XNSP   ,SPRING FALLOW
XPBU   ,BUILDING PROTECTION FROM TERMITE ATTACK
XPEC   ,COSMETICS - WHERE ETO CANNOT ACCESS
XPFM   ,FOAM MARKER
XPKA   ,KNAPSACK APPLICATION
XPSP   ,SOIL TREATMENT OF POLES
XRMM   ,CONSTRUCTION & OTHER MAN-MADE DEPRESSION
XSAG   ,GRAIN STORAGE AREA - SEE LABEL
XSFG1  ,FARM STORED FEED GRAIN
XSGST  ,FARM STORED SEED GRAIN - TRITICALE
XTMAS  ,MASONITE
XVTF   ,"TRANSPORT, VEHICLES AND FACILITIES"
XVTPI  ,AIRCRAFT - INTERIOR
XWSM   ,SALT MARSH
XWSP   ,WOODLAND POOL
XXOS   ,ORNAMENTAL SPRAY
ZAGRP  ,PENNCROSS HYBRID
ZTRET  ,TREE - EXCLUDING FRUIT TREE
ZTURO2 ,OSURANTHUS
SCF    ,STORED FRUIT
SCFE   ,GENERAL FARM EQUIPMENT
SCGC   ,GRAIN HANDLING MACHINERY
SCGHC  ,STORED GRAIN - FOR HUMAN CONSUMPTION
SCPSF  ,STORED FIELD PEAS
SCRS   ,STORED RAPESEED SEED
SCSS   ,STORED SORGHUM SEED
SCSSL  ,STORED SEED
SHGTT  ,SHEEP > 12 MONTHS AGE AND >30KG WEIGHT
SQI    ,QUARRY INDUSTRY
STP    ,STEP
SUWT   ,UNWANTED TREES (SEE LABEL)
SWPP   ,SWIMMING POOL- PRIVATE
SWS    ,SPA
TIM2   ,SAWN LUMBER - SEE LABEL
TIMB1  ,HARDBOARD
TIMBOT ,TIMBER - FOR BOAT CONSTRUCTION
TIMICC ,TIMBER - INDUSTRIAL & COMMERCIAL CONSTRU
TIMO   ,WOODEN SURFACES
TIMPG  ,GROUNDLINE TREATMENT OF POWER
TIMPIL ,TIMBER - PILING
TIMPP  ,TIMBER - PRE AND POST TREATMENT
TIMSR  ,TIMBER-SAWN/ROUND - VACCUUM IMPREGNATION
TLTF   ,TIFGREEN
TLWI   ,WINTERGREEN
TNL    ,NEW LAWNS-PRIOR TO PLANTING
TP     ,TERRACOTTA POT
TRRC   ,CANOLA - TRUFLEX ROUNDUP READY
TWA    ,TURF WATERING
VB11   ,COLE CROPS - SEE LABEL FOR EXCEPTION
VG2    ,VEGETABLE SEEDLING
VGAS   ,VEGETABLE SEED CROP
VGBBD  ,EGGPLANT - POST-HARVEST DIP
VGBD   ,TOMATO
VGBDCO1,CHERRY TOMATO - POST-HARVEST DIP
VGBDD  ,TOMATO - POST-HARVEST DIP
VGBDR  ,TOMATO - PRIOR TO SOWING
VGBDTB ,BUSH TOMATO
VGCDA  ,BUTTERNUT PUMPKIN
VGCLP  ,CHILLI - POST-HARVEST
VGD1   ,BRASSICA SPP. TRANSPLANT
VGDB   ,BROCCOLI
VGDBP  ,BROCCOLI - PRIOR TO SOWING
VGDCD  ,CABBAGE - DIRECT SEEDED
VGDHT  ,CHINESE CABBAGE TRANSPLANTS
VGGPH  ,VEGETABLE - POST-HARVEST
VGGSM  ,VEGETABLE - SEEDLINGS & MATURE CROPS
VGLAE  ,ENDIVE
VGLAFT ,FIELD GROWN LETTUCE (CLOSED HEAD VARIETI
VGLAR  ,LETTUCE - PRIOR TO SOWING
VGLATL ,LETTUCE-TRANSPLANTED-PRIOR TO SOWING
VGLCR  ,CRUCIFER
VGMP1  ,MUSHROOM
VGOA4  ,ONION - SEEDED
VGOA5  ,SPRING ONION
VGOBP  ,GARLIC - CLOVE TREATMENT PRE-PLANTING
VGPA1  ,GREEN BEAN - DWARF FRENCH
VGPAP  ,GREEN BEAN - POST-HARVEST DIP
VGPBP  ,ADZUKI BEAN - PRIOR TO SOWING
VGPC   ,GREEN OR GARDEN PEA
VGPCC  ,PEA
VGPCF  ,DARK SEEDED PERFECTION PEA
VGPCG  ,EARLY CROP 99 PEA
VGPCJ  ,SMALL SIEVE FREEZER PEA
VGPCP  ,SNOW PEA
VGPCU  ,VINING PEA
VGPHP  ,LENTIL (PRIOR TO SOWING)
VGPKP  ,MUNG BEAN - PRIOR TO SOWING
VGPM   ,LIMA BEAN
VGPN   ,COW BEAN
VGPQ2  ,FABA BEAN - SEE LABEL
VGPQ4  ,FABA BEAN - INCORPORATED BY SOWING
VGPS   ,FRENCH BEAN
VGRGC  ,POTATO - PRIOR TO EMERGENCE
VGSDP  ,ASPARAGUS - PRE-EMERGENT
VGSFD  ,DRYLAND SWEETCORN
VGSFQ  ,SWEET CORN - PRE-EMERGENT
VLB1   ,BUK CHOY (BOK CHOY)
VPLI   ,LUPIN - INCORPORATED BY SOWING (IBS)
VRP    ,POTATO TUBER
WCIT   ,WALL CAVITY TREATMENT
XAAFP  ,NON-CROP AREAS ON FLOOD PLAINS
XACCO  ,CHEMICAL AND/OR OIL STORAGE AREA
XAD    ,DOMESTIC AND/OR PUBLIC AREA
XAGC   ,CONCRETE AREA - GENERAL
XAGS   ,SMALL AREA - GENERAL
XAGY   ,WHARF AREA - GENERAL
XAGZ   ,RIGHTS OF WAY - GENERAL
XAIL   ,INDUSTRIAL LAND OR AREA
XAPB   ,PEST CONTROL - BEACH AREA
XAPPS  ,PREPLANTING SPRAY/CULTIVATION SUBSTITUTE
XASF   ,PREVENTION OF SEED FORMATION
XASY   ,STOCKYARD
XATR   ,TRIAL PLOT
XBCF   ,PROCESSING FACILITY
XBDM   ,DOMESTIC PREMISES
XBIE   ,INDUSTRIAL BUILDINGS/STRUCTURE - EXTERNA
XBLS1  ,BOLTED STEEL SILO'S
XBPHS  ,SURGERY
XBPP   ,PUBLIC PREMISES
XBPSG  ,SCHOOL GROUND
XBST   ,STORE
XBWA   ,WAREHOUSE
XBWS1  ,WELL SEALED EMPTY WAREHOUSES
XBXCR  ,"ROOF TILE, SHINGLE OR SLATE"
XBXCTG ,TILE AND/OR GROUT SURFACES
XCEC   ,CERAMIC PRODUCT
XCMS   ,MEDICAL - COLD STERILISATION
XEWIW  ,INDUSTRIAL WATER COOLING SYSTEM
XFAW   ,AWNING
XFISU  ,SOFA - UNDERNEATH
XFLUR  ,FRUIT FLU LURE MALE FLY ATTRACT
XFUM   ,FUMIGATION CHAMBER
XGC    ,CLOTHES - REFER TO LABEL
XGH    ,HAT
XHCMQPS,COMPOST WELL-ROTTED QPS & CUE TREATMENT
XHGM   ,GROWING MEDIUM
XHSH   ,SOIL HEAPS (UNDER PLASTIC OR IN DRUMS)
XLAA   ,AMENITY AREA
XLBT   ,BUTCHERY
XLCB   ,CATCH BASIN
XLCO   ,COMMERCIAL AREA - OUTDOORS
XLHS   ,INSECTS INFESTING HIDES AND SKIN
XLIG   ,GALVANISED IRON
XLINE  ,ELECTRICITY INSTALLATION
XLING  ,GAS INSTALLATION
XLIO   ,INDUSTRIAL AREA - OUTDOORS
XLLS   ,LIVING AND SLEEPING AREA
XLNH   ,NURSING HOME
XLOC   ,CONTAINER
XLODR  ,DOOR
XLOE   ,EXTERNAL WALLS
XLOEDT ,EGG DIPPING RINSING TRAY
XLRD   ,ROADSIDE DITCH
XLROW  ,RIGHTS OF WAY
XLRS   ,ROAD SHOULDER
XLSLP  ,SETTLING PONDS
XLT    ,TREE-PRIOR TO PLANTING
XLTS1  ,WELL SEALED EMPTY STORES
XNBF   ,BUILDING FOUNDATIONS - AROUND
XNFT   ,FIRE TRAIL
XNST1  ,SERRATED TUSSOCK - PREVENTION OF
XPAG   ,GROUT ADDITIVE
XPAL   ,LOW VOLUME APPLICATION
XPEN   ,ENTRANCES
XPLU2  ,FRUIT FLY LURE - ERADICATION ONLY
XPPU   ,PRIVATE USE - GENERAL
XPSC   ,SYNTHETIC COURT
XRW    ,ROCKERY (SPOT SPRAY) WEED CONTROL
XSC2   ,NON-RESIDENTIAL STRUCTURE - REFER TO LAB
PSCEP  ,COCKSFOOT - PASTURE
PSCF   ,SUBTERRANEAN CLOVER SEED CROP
PSCGA  ,LUCERNE SEED CROP - PRIOR TO SOWING
PSCGR  ,GRASS SEED CROP
PSCGR1 ,GRASS SEED CROP - ESTABLISHED
PSCGR6 ,PERENNIAL GRASS CROPS - ESTABLISHED
PSCPA  ,PANICUM SEED CROP
PSCQP  ,CORIANDER SEED CROP - PRIOR TO EMERGENCE
PSCR   ,RED CLOVER SEED CROP
PSCS2  ,SIGNAL GRASS SEED CROP - ESTABLISHED
PSCSH  ,SHRUBBY STYLO SEED CROP
SCAD   ,STORED ANIMAL PRODUCT
SCAE   ,STORED TOBACCO - MANUFACTURED PRODUCTS
SCASF  ,STORED BULK STOCK FEED
SCDF   ,STORED DRIED FOOD
SCFL   ,LUPIN - STORED
SCGAB  ,STORED BARLEY SEED
SCGAW  ,STORED WHEAT GRAIN
SCGMI  ,STORED MILLET
SCGS   ,STORED SEEDGRAIN
SCGS1  ,SEED GRAIN - FARM STORED
SCIG   ,INFESTED GRAIN HELD BY FLOUR MILLERS
SWI    ,INDOOR POOL
SWO    ,SWIMMING POOL - OUTDOOR
SWP    ,POOL
SWS1   ,SPA - PRIVATE
TIMGF  ,TIMBER - GARDEN FURNITURE
TIML   ,LAMINATED TIMBER
TIMSP  ,RAILWAY SLEEPERS - TIMBER
TM     ,TREATED METALS
VBAM   ,AMSOI
VBLT   ,TURNIP GREENS
VGAC   ,BULB VEGETABLE
VGALM  ,ALOE VERA - PLANTING MATERIAL
VGBB1  ,CHINESE BROCCOLI
VGBD4  ,TOMATO - FIELD GROWN
VGBD9  ,TOMATO - INTER ROW
VGBDB  ,TOMATO TRANSPLANT - PRIOR TO SOWING
VGBDCO ,CHERRY TOMATO - POST HARVEST
VGBDT1 ,TOMATILLO
VGCD   ,PUMPKIN
VGCE1  ,KABOCHA - JAPANASE SQUASH
VGCROP ,VEGETABLE CROP
VGDA1  ,BRASSICA - ASIAN
VGEPP  ,PEPINO - POST-HARVEST
VGFH   ,FENNEL
VGFH2  ,FENNEL - FLORENCE
VGOAA  ,DRY ONION BULB
VGOAC  ,ONION - PRE-EMERGENT
VGPC5  ,PROCESSING PEA - REFER TO LABEL
VGPCIE ,PEA (SEE LABEL FOR INCLUSION/EXCLUSIONS)
VGPCL  ,GEM PEA
VGPCN  ,SHASTA PEA
VGPCSL ,GREEN PEA (POST EMERGENT) - SEE LABEL
VGPCT  ,GREEN PEA - PRE-EMERGENT
VGPED  ,DAVIS SOYBEAN - IRRIGATED
VGPFA  ,BEAN - DRY BEAN
VGPHL  ,LENTILS - REFER TO LABEL
VGPJ1  ,NAVY BEAN - PRE-PLANT
VGPJ2  ,NAVY BEAN - REFER TO LABEL
VGPK   ,MUNG BEAN
VGPNA1 ,NARBON BEAN - FALLOW & SEEDBED
VGPOP  ,CASTOR BEAN
VGPPB  ,PIGEON BEAN
VGPPP  ,LABLAB BEAN - PRIOR TO SOWING
VGPQ5  ,FABA BEAN - FALLOW & SEEDBED
VGPVP  ,BORLOTTI BEAN - PRIOR TO SOWING
VGRFP  ,PARSNIP - PRE-EMERGENT
VGRG3  ,POTATO - POST EMERGENCE
VGRGE  ,POTATO SEED PIECE
VGRMS  ,TURNIP SEED
VGSD   ,ASPARAGUS
VGSF2  ,SWEET CORN - POST EMERGENT
VGSF3  ,FIELD CORN
VGSFP  ,SWEET CORN - PRIOR TO SOWING
VGSG   ,GLOBE ARTICHOKE
VGSL   ,VEGETABLES - SEE LABEL
VLA    ,ANARANTH LEAFY
VLA1   ,ARUGULA
VLC3   ,CELTUCE
VLC5   ,CRESS
VLD    ,DOCK
VLDL   ,DANDELION LEAVES
VPMB   ,MUNG BEAN - SEED PRODUCTION
VRPB   ,BAGGED POTATO
XAA    ,AGRICULTURAL AREA - GENERAL
XAA2   ,AGRICULTURAL AREAS - SEE LABEL
XAACCN ,NON-CULTIVATED AREA - GENERAL
XAGDA  ,DECORATIVE AREA
XAGW   ,WASTE LAND OR AREA
XAH    ,HIDE/SKIN STORAGE AREA
XAS    ,AIRSPACE
XBAZ   ,AGRICUL/FARM BUILDING UNDER CONSTRUCTION
XBCCBR ,CANTEEN AND/OR BAKERY AND/OR RESTAURANT
XBCIP  ,INDUSTRIAL PLANT
XBCZ   ,COMMERCIAL BUILDING UNDER CONSTRUCTION
XBDHI  ,HOUSE - INSIDE
XBDHR  ,ROOM - DOMESTIC HOUSE
XBGQPS1,OTHER LOCAL AREAS QPS & APPROVED CUE
XBIZ   ,INDUSTRIAL BUILDING UNDER CONSTRUCTION
XBPE   ,PUBLIC BUILDING/STRUCTURE - EXTERNAL ARE
XBPM   ,MARINA
XBUI   ,EXTERNAL SURROUNDS-BUILDINGS/STRUCTURES
XBXCB  ,"HORIZONTAL BARRIER, AROUND OR UNDER"
XCTS   ,TREES AND STUMPS IN URBAN AREA
XD1    ,FOOTBATH AND HANDS
XEP    ,POLE GROUND-LINE
XFCQPS ,CANE PRODUCTS QPS & APPROVED CUE
XHPP   ,PLANT POTS
XLAR   ,ACCESS ROUTES
XLAT   ,ARTIFICIAL SURFACES
XLCP   ,CESSPOOL
XLEFC  ,FOOTPATH AND CURBSIDE EDGING
XLES1  ,WELL SEALED EMPTY ELEVATORS
XLHUT  ,TIMBER HULL
XLMST  ,SHEET - COTTON / BLEND
XLNBP  ,NEST BOX ON POULTRY BREEDER FARM
XLOCP  ,CARPET
XLOG   ,GARBAGE BIN - OUTDOOR
XLOK   ,KNIFE
XLPF   ,POULTRY FARM
XLPGA  ,AROUND GUIDE POSTS
XLPR   ,PERGOLA
XLRSTL ,MUNICIPAL SPORTS FIELDS (SEE LBL FOR VAR
XLRV1  ,"ROOF VOID - HOUSE, HAS HAD NESTING BIRDS"
